id;price;rooms;area;year
11360256;54800;1;29,58;1961
11360257;57000;1;30,7;1973
11360258;57000;1;28,8;1969
11360259;57900;1;30,2;1963
11360260;58500;1;33,6;1982
11360261;58900;1;27,88;1958
11360262;59000;1;32,85;1985
11360263;60000;1;33,7;1989
11360264;60900;1;33,1;1978
11360265;61500;1;32,9;1975
11360266;61500;1;33,17;1900
11360267;62000;1;32,4;1968
11360268;62000;1;32,9;1979
11360269;62300;1;33;1991
11360270;62500;1;33;1979
11085839;120000;0;50;1979
11360272;63000;1;32,53;1900
11360273;63000;1;33,73;1985
11360274;63000;1;33,1;1992
11360275;63000;1;34,4;1987
11360276;63000;1;36,5;1989
11360277;63000;1;33,01;1975
11360278;64000;1;32,09;1982
11360279;64000;1;36,7;1988
11360280;64500;1;34,2;1967
11360281;65000;1;33,8;1991
11360282;65000;1;31,23;1960
11360283;65000;1;33,03;1985
11360284;65500;1;33,2;1988
11360285;65500;1;32,84;1982
11360286;66000;1;33,09;1977
11360287;67000;1;35;1972
11360288;68000;1;33,3;1988
11360289;68000;1;36,5;1987
11153442;63000;1;30.03;1962
11358243;66600;1;32,9;1975
11229220;79000;2;44;1966
11360293;71000;1;31,52;1958
11360294;71000;1;33;1986
11360295;71500;1;39,8;2009
11360296;72000;1;45,1;2006
11360297;72000;1;40;2005
11360298;73000;1;33,1;1973
11360299;73000;1;36,6;1989
11360300;74000;1;40,6;2012
11360301;74500;1;40,6;2010
11360302;75000;1;36,5;1981
11360304;75000;1;37,8;2008
11360305;75000;1;36,7;2000
11360306;75000;1;42,4;2003
10143795;128000;3;72,1;1982
11360308;76000;1;35,9;2003
11360309;76000;1;39,1;2013
11360310;77000;1;40,8;2009
11360311;77000;1;43,2;2005
11360312;77000;1;47;2010
11360313;77000;1;49,6;2009
11360314;77000;1;39,3;2013
11360315;77000;1;43,1;2009
11360316;78000;1;47,5;2007
11360317;78000;1;40,1;2012
11360318;78800;1;42,8;2011
11360319;78900;1;39,7;1999
11360321;78900;1;43,8;2010
11360322;79500;1;45,3;2010
11360323;79500;1;35;2002
11360324;79700;1;43,1;1900
11360325;81000;1;34,5;1970
11360326;84500;1;39;2008
11360941;160000;3;70;1981
11360328;85000;1;45,5;2009
11360329;85000;1;33,68;1970
11360330;87000;1;39,3;2008
11360331;95000;1;33,5;1971
11360332;95000;1;52,6;2008
11360333;97000;1;56;2010
11360334;99500;1;46,5;2004
11360335;163000;1;65;2007
11360336;31000;1;34,4;1989
11360337;79000;1;49,1;2013
11360338;63000;2;53,9;1993
11360339;49000;2;49,5;1978
11360340;65000;2;43,59;1959
11360341;65000;2;41,6;1955
11360342;67000;2;38,3;1967
11360343;69000;2;40,2;1959
11360344;69500;2;42,74;1963
11360345;71000;2;43,43;1964
11360346;72000;2;40,9;1966
11360347;72000;2;40,8;1959
11360348;72000;2;43,1;1962
11360349;72000;2;38,8;1973
11360350;74000;2;41,81;1900
11360351;75000;2;46,85;1967
10571872;96000;2;58;2013
11360353;75000;2;44,2;1969
11360354;75000;2;42,17;1960
11360355;76000;2;44,36;1961
11360356;77000;2;39,71;1973
11360357;77000;2;42,7;1962
11360358;78000;2;46,76;1973
11360359;79000;2;46,58;1983
11360361;79500;2;49,9;1972
11360362;80000;2;48,86;1982
11360363;80000;2;46,26;1900
11360364;80000;2;49,5;1980
11360365;81000;2;52,6;1990
11360366;82000;2;41,05;1962
11360367;83000;2;52,3;1968
11360368;83000;2;46,33;1979
11360369;84000;2;50,1;1978
11360370;85000;2;47,5;1973
11360371;88000;2;46,62;1983
11360372;88500;2;52,4;1970
11360373;89000;2;42,58;1963
11360374;89000;2;49,44;1971
11360375;89000;2;49,13;1970
11360376;93000;2;54,9;2004
11360377;95000;2;49,3;1969
11360378;97000;2;50,9;1992
11360379;97000;2;64,5;2013
11360380;97000;2;47,1;1956
